pk,cc,sentence,syntax,fd1,fd2,fd3,verb,augmented,dep,silver_cc,gold_cc
677.0,"[{'text': 'labels', 'q_value': '+MER', 'index': 2, 'dep': 'nsubj', 'fd_subsequent': 7, 'fd_relation': 'PTH'}, {'text': 'kind', 'q_value': 'EXIST', 'index': 7, 'dep': 'nmod', 'fd_relation': 'None'}]",The labels taped easily to that kind of cover,Sbj V PathP,Autonomous,Place,none,tape,0,"[{'text': 'The', 'dep': 'det'}, {'text': 'labels', 'dep': 'nsubj'}, {'text': 'taped', 'dep': 'ROOT'}, {'text': 'easily', 'dep': 'advmod'}, {'text': 'to', 'dep': 'case'}, {'text': 'that', 'dep': 'det'}, {'text': 'kind', 'dep': 'nmod'}, {'text': 'of', 'dep': 'case'}, {'text': 'cover', 'dep': 'nmod'}]",labels kind cover,labels kind
678.0,"[{'text': 'It', 'q_value': '+MER', 'index': 1, 'dep': 'nsubj', 'fd_subsequent': 5, 'fd_relation': 'PTH'}, {'text': 'ankle', 'q_value': 'EXIST', 'index': 5, 'dep': 'nmod', 'fd_relation': 'None'}]",It clamped on his ankle,Sbj V PathP,Autonomous,Place,none,clamp,0,"[{'text': 'It', 'dep': 'nsubj'}, {'text': 'clamped', 'dep': 'ROOT'}, {'text': 'on', 'dep': 'case'}, {'text': 'his', 'dep': 'nmod:poss'}, {'text': 'ankle', 'dep': 'nmod'}]",It ankle,It ankle
199.0,"[{'text': 'dragon', 'q_value': 'INTL', 'index': 2, 'dep': 'nsubj', 'fd_subsequent': 4, 'fd_relation': 'FRC'}, {'text': 'fire', 'q_value': '+MER', 'index': 4, 'dep': 'dobj', 'fd_subsequent': 6, 'fd_relation': 'PTH'}, {'text': 'Mary', 'q_value': 'EXIST', 'index': 6, 'dep': 'nmod', 'fd_relation': 'None'}]",The dragon breathed fire on Mary,Sbj V Obj PathP,Physical,Place,none,breathe,0,"[{'text': 'The', 'dep': 'det'}, {'text': 'dragon', 'dep': 'nsubj'}, {'text': 'breathed', 'dep': 'ROOT'}, {'text': 'fire', 'dep': 'dobj'}, {'text': 'on', 'dep': 'case'}, {'text': 'Mary', 'dep': 'nmod'}]",dragon fire Mary,dragon fire Mary
679.0,"[{'text': 'child', 'q_value': 'VOL::+MER', 'index': 2, 'dep': 'nsubj', 'fd_subsequent': 6, 'fd_relation': 'PTH'}, {'text': 'mother', 'q_value': 'EXIST', 'index': 6, 'dep': 'nmod', 'fd_relation': 'None'}]",The child clung to her mother,Sbj V PathP,Self-volitional,Place,none,cling,0,"[{'text': 'The', 'dep': 'det'}, {'text': 'child', 'dep': 'nsubj'}, {'text': 'clung', 'dep': 'ROOT'}, {'text': 'to', 'dep': 'case'}, {'text': 'her', 'dep': 'nmod:poss'}, {'text': 'mother', 'dep': 'nmod'}]",child mother,child mother
680.0,"[{'text': 'She', 'q_value': 'VOL::+MER', 'index': 1, 'dep': 'nsubj', 'fd_subsequent': 6, 'fd_relation': 'PTH'}, {'text': 'black', 'q_value': 'EXIST', 'index': 6, 'dep': 'nmod', 'fd_relation': 'None'}]",She was always clad in black,Sbj V Obj PathP,Self-volitional,Place,none,clothe,0,"[{'text': 'She', 'dep': 'nsubjpass'}, {'text': 'was', 'dep': 'auxpass'}, {'text': 'always', 'dep': 'advmod'}, {'text': 'clad', 'dep': 'ROOT'}, {'text': 'in', 'dep': 'case'}, {'text': 'black', 'dep': 'advcl'}]",,She black
132.0,"[{'text': 'children', 'q_value': 'VOL::INTL', 'index': 2, 'dep': 'nsubj', 'fd_subsequent': -1, 'fd_relation': 'None'}]",The children hid,Sbj V,Self-volitional,Internal,none,hide,0,"[{'text': 'The', 'dep': 'det'}, {'text': 'children', 'dep': 'nsubj'}, {'text': 'hid', 'dep': 'ROOT'}]",children,children
245.0,"[{'text': 'children', 'q_value': 'VOL::INTL', 'index': 2, 'dep': 'nsubj', 'fd_subsequent': 5, 'fd_relation': 'AFF'}, {'text': 'Sally', 'q_value': 'PROP', 'index': 5, 'dep': 'nmod', 'fd_relation': 'None'}]",The children hid from Sally,Sbj V from Obl,Self-volitional,Internal,Affect,hide,0,"[{'text': 'The', 'dep': 'det'}, {'text': 'children', 'dep': 'nsubj'}, {'text': 'hid', 'dep': 'ROOT'}, {'text': 'from', 'dep': 'case'}, {'text': 'Sally', 'dep': 'nmod'}]",children Sally,children Sally
248.0,"[{'text': 'children', 'q_value': 'VOL::+MER', 'index': 2, 'dep': 'nsubj', 'fd_subsequent': 6, 'fd_relation': 'PTH'}, {'text': 'chimney', 'q_value': 'EXIST', 'index': 6, 'dep': 'nmod', 'fd_relation': 'None'}]",The children hid in the chimney,Sbj V PathP,Self-volitional,Place,none,hide,0,"[{'text': 'The', 'dep': 'det'}, {'text': 'children', 'dep': 'nsubj'}, {'text': 'hid', 'dep': 'ROOT'}, {'text': 'in', 'dep': 'case'}, {'text': 'the', 'dep': 'det'}, {'text': 'chimney', 'dep': 'nmod'}]",children chimney,children chimney
681.0,"[{'text': 'Diabetics', 'q_value': 'VOL', 'index': 1, 'dep': 'nsubj', 'fd_subsequent': 5, 'fd_relation': 'FRC'}, {'text': 'sugar', 'q_value': '+MER', 'index': 5, 'dep': 'dobj', 'fd_subsequent': 8, 'fd_relation': 'PTH'}, {'text': 'desserts', 'q_value': 'EXIST', 'index': 8, 'dep': 'nmod', 'fd_relation': 'None'}]",Diabetics can now incorporate sugar into their desserts,Sbj V Obj PathP,Volitional,Place,none,incorporate,0,"[{'text': 'Diabetics', 'dep': 'nsubj'}, {'text': 'can', 'dep': 'aux'}, {'text': 'now', 'dep': 'advmod'}, {'text': 'incorporate', 'dep': 'ROOT'}, {'text': 'sugar', 'dep': 'dobj'}, {'text': 'into', 'dep': 'case'}, {'text': 'their', 'dep': 'nmod:poss'}, {'text': 'desserts', 'dep': 'nmod'}]",Diabetics sugar desserts,Diabetics sugar desserts
682.0,"[{'text': 'Cora', 'q_value': 'VOL', 'index': 1, 'dep': 'nsubj', 'fd_subsequent': 4, 'fd_relation': 'FRC'}, {'text': 'rope', 'q_value': '+MER', 'index': 4, 'dep': 'dobj', 'fd_subsequent': 7, 'fd_relation': 'PTH'}, {'text': 'post', 'q_value': 'EXIST', 'index': 7, 'dep': 'nmod', 'fd_relation': 'None'}]",Cora coiled the rope around the post,Sbj V Obj PathP,Volitional,Place,none,coil,0,"[{'text': 'Cora', 'dep': 'nsubj'}, {'text': 'coiled', 'dep': 'ROOT'}, {'text': 'the', 'dep': 'det'}, {'text': 'rope', 'dep': 'dobj'}, {'text': 'around', 'dep': 'case'}, {'text': 'the', 'dep': 'det'}, {'text': 'post', 'dep': 'nmod'}]",Cora rope post,Cora rope post
683.0,"[{'text': 'I', 'q_value': 'VOL', 'index': 1, 'dep': 'nsubj', 'fd_subsequent': 4, 'fd_relation': 'FRC'}, {'text': 'sauce', 'q_value': '+MER', 'index': 4, 'dep': 'dobj', 'fd_subsequent': 5, 'fd_relation': 'PTH'}, {'text': 'there', 'q_value': 'EXIST', 'index': 5, 'dep': 'advmod', 'fd_relation': 'None'}]",I spooned the sauce there,Sbj V Obj PathP,Volitional,Place,none,spoon,0,"[{'text': 'I', 'dep': 'nsubj'}, {'text': 'spooned', 'dep': 'ROOT'}, {'text': 'the', 'dep': 'det'}, {'text': 'sauce', 'dep': 'dobj'}, {'text': 'there', 'dep': 'advmod'}]",I sauce there,I sauce there
684.0,"[{'text': 'I', 'q_value': 'VOL', 'index': 1, 'dep': 'nsubj', 'fd_subsequent': 4, 'fd_relation': 'FRC'}, {'text': 'mixture', 'q_value': '+MER', 'index': 4, 'dep': 'dobj', 'fd_subsequent': 7, 'fd_relation': 'PTH'}, {'text': 'bottle', 'q_value': 'EXIST', 'index': 7, 'dep': 'nmod', 'fd_relation': 'None'}]",I funneled the mixture into the bottle,Sbj V Obj PathP,Volitional,Place,none,funnel,0,"[{'text': 'I', 'dep': 'nsubj'}, {'text': 'funneled', 'dep': 'ROOT'}, {'text': 'the', 'dep': 'det'}, {'text': 'mixture', 'dep': 'dobj'}, {'text': 'into', 'dep': 'case'}, {'text': 'the', 'dep': 'det'}, {'text': 'bottle', 'dep': 'nmod'}]",I mixture bottle,I mixture bottle
685.0,"[{'text': 'He', 'q_value': 'VOL', 'index': 1, 'dep': 'nsubj', 'fd_subsequent': 4, 'fd_relation': 'FRC'}, {'text': 'diamond', 'q_value': '+MER', 'index': 4, 'dep': 'dobj', 'fd_subsequent': 7, 'fd_relation': 'PTH'}, {'text': 'dunes', 'q_value': 'EXIST', 'index': 7, 'dep': 'nmod', 'fd_relation': 'None'}]",He wedged the diamond between shifting dunes,Sbj V Obj PathP,Volitional,Place,none,wedge,0,"[{'text': 'He', 'dep': 'nsubj'}, {'text': 'wedged', 'dep': 'ROOT'}, {'text': 'the', 'dep': 'det'}, {'text': 'diamond', 'dep': 'dobj'}, {'text': 'between', 'dep': 'case'}, {'text': 'shifting', 'dep': 'amod'}, {'text': 'dunes', 'dep': 'nmod'}]",He diamond dunes,He diamond dunes
686.0,"[{'text': 'Paula', 'q_value': 'VOL', 'index': 1, 'dep': 'nsubj', 'fd_subsequent': 4, 'fd_relation': 'FRC'}, {'text': 'stick', 'q_value': 'INTL', 'index': 4, 'dep': 'dobj', 'fd_subsequent': 7, 'fd_relation': 'FRC'}, {'text': 'fence', 'q_value': 'EXIST', 'index': 7, 'dep': 'dobj', 'fd_relation': 'None'}]",Paula hit the stick against the fence,Sbj V Obj PathP,Manipulate,Force,none,hit,0,"[{'text': 'Paula', 'dep': 'nsubj'}, {'text': 'hit', 'dep': 'ROOT'}, {'text': 'the', 'dep': 'det'}, {'text': 'stick', 'dep': 'dobj'}, {'text': 'against', 'dep': 'case'}, {'text': 'the', 'dep': 'det'}, {'text': 'fence', 'dep': 'nmod'}]",Paula stick,Paula stick fence
687.0,"[{'text': 'Smith', 'q_value': 'VOL', 'index': 1, 'dep': 'nsubj', 'fd_subsequent': 4, 'fd_relation': 'FRC'}, {'text': 'name', 'q_value': '+MER', 'index': 4, 'dep': 'dobj', 'fd_subsequent': 7, 'fd_relation': 'PTH'}, {'text': 'ring', 'q_value': 'EXIST', 'index': 7, 'dep': 'nmod', 'fd_relation': 'None'}]",Smith inscribed his name on the ring,Sbj V Obj PathP,Volitional,Place,none,inscribe,0,"[{'text': 'Smith', 'dep': 'nsubj'}, {'text': 'inscribed', 'dep': 'ROOT'}, {'text': 'his', 'dep': 'nmod:poss'}, {'text': 'name', 'dep': 'dobj'}, {'text': 'on', 'dep': 'case'}, {'text': 'the', 'dep': 'det'}, {'text': 'ring', 'dep': 'nmod'}]",Smith name ring,Smith name ring
688.0,"[{'text': 'Herman', 'q_value': 'VOL', 'index': 1, 'dep': 'nsubj', 'fd_subsequent': 4, 'fd_relation': 'FRC'}, {'text': 'computer', 'q_value': '+MER', 'index': 4, 'dep': 'dobj', 'fd_subsequent': 7, 'fd_relation': 'PTH'}, {'text': 'network', 'q_value': 'EXIST', 'index': 7, 'dep': 'nmod', 'fd_relation': 'None'}]",Herman added a computer to the network,Sbj V Obj PathP,Volitional,Place,none,add,0,"[{'text': 'Herman', 'dep': 'nsubj'}, {'text': 'added', 'dep': 'ROOT'}, {'text': 'a', 'dep': 'det'}, {'text': 'computer', 'dep': 'dobj'}, {'text': 'to', 'dep': 'case'}, {'text': 'the', 'dep': 'det'}, {'text': 'network', 'dep': 'nmod'}]",Herman computer network,Herman computer network
689.0,"[{'text': 'Lydia', 'q_value': 'VOL', 'index': 1, 'dep': 'nsubj', 'fd_subsequent': 4, 'fd_relation': 'FRC'}, {'text': 'change', 'q_value': '+MER', 'index': 4, 'dep': 'dobj', 'fd_subsequent': 8, 'fd_relation': 'PTH'}, {'text': 'pocket', 'q_value': 'EXIST', 'index': 8, 'dep': 'nmod', 'fd_subsequent': -1, 'fd_relation': ''}]",Lydia pocketed the change in her left pocket,Sbj V Obj PathP,Volitional,Place,none,pocket,0,"[{'text': 'Lydia', 'dep': 'nsubj'}, {'text': 'pocketed', 'dep': 'ROOT'}, {'text': 'the', 'dep': 'det'}, {'text': 'change', 'dep': 'dobj'}, {'text': 'in', 'dep': 'case'}, {'text': 'her', 'dep': 'nmod:poss'}, {'text': 'left', 'dep': 'amod'}, {'text': 'pocket', 'dep': 'nmod'}]",Lydia change pocket,Lydia change pocket
690.0,"[{'text': 'Allison', 'q_value': 'VOL', 'index': 1, 'dep': 'nsubj', 'fd_subsequent': 4, 'fd_relation': 'FRC'}, {'text': 'needle', 'q_value': '+MER', 'index': 4, 'dep': 'dobj', 'fd_subsequent': 7, 'fd_relation': 'PTH'}, {'text': 'cloth', 'q_value': 'EXIST', 'index': 7, 'dep': 'nmod', 'fd_relation': 'None'}]",Allison poked the needle through the cloth,Sbj V Obj PathP,Volitional,Place,none,poke,0,"[{'text': 'Allison', 'dep': 'nsubj'}, {'text': 'poked', 'dep': 'ROOT'}, {'text': 'the', 'dep': 'det'}, {'text': 'needle', 'dep': 'dobj'}, {'text': 'through', 'dep': 'case'}, {'text': 'the', 'dep': 'det'}, {'text': 'cloth', 'dep': 'nmod'}]",Allison needle cloth,Allison needle cloth
691.0,"[{'text': 'Maria', 'q_value': 'VOL', 'index': 1, 'dep': 'nsubj', 'fd_subsequent': 3, 'fd_relation': 'FRC'}, {'text': 'water', 'q_value': '+MER', 'index': 3, 'dep': 'dobj', 'fd_subsequent': 6, 'fd_relation': 'PTH'}, {'text': 'bowl', 'q_value': 'EXIST', 'index': 6, 'dep': 'nmod', 'fd_subsequent': 9, 'fd_relation': 'PTH-complex'}, {'text': 'cup', 'q_value': 'EXIST', 'index': 9, 'dep': 'nmod', 'fd_relation': 'None'}]",Maria poured water from the bowl into the cup,Sbj V Obj PathP,Volitional,Place,none,pour,0,"[{'text': 'Maria', 'dep': 'nsubj'}, {'text': 'poured', 'dep': 'ROOT'}, {'text': 'water', 'dep': 'dobj'}, {'text': 'from', 'dep': 'case'}, {'text': 'the', 'dep': 'det'}, {'text': 'bowl', 'dep': 'nmod'}, {'text': 'into', 'dep': 'case'}, {'text': 'the', 'dep': 'det'}, {'text': 'cup', 'dep': 'nmod'}]",Maria water bowl cup,Maria water bowl cup
692.0,"[{'text': 'Tamara', 'q_value': 'VOL', 'index': 1, 'dep': 'nsubj', 'fd_subsequent': 3, 'fd_relation': 'FRC'}, {'text': 'water', 'q_value': '+MER', 'index': 3, 'dep': 'dobj', 'fd_subsequent': 4, 'fd_relation': 'PTH'}, {'text': 'here', 'q_value': 'EXIST', 'index': 4, 'dep': 'advmod', 'fd_relation': 'None'}]",Tamara poured water here,Sbj V Obj PathP,Volitional,Place,none,pour,0,"[{'text': 'Tamara', 'dep': 'nsubj'}, {'text': 'poured', 'dep': 'ROOT'}, {'text': 'water', 'dep': 'dobj'}, {'text': 'here', 'dep': 'advmod'}]",Tamara water here,Tamara water here
693.0,"[{'text': 'Tamara', 'q_value': 'VOL', 'index': 1, 'dep': 'nsubj', 'fd_subsequent': 3, 'fd_relation': 'FRC'}, {'text': 'water', 'q_value': '+MER', 'index': 3, 'dep': 'dobj', 'fd_subsequent': 6, 'fd_relation': 'PTH'}, {'text': 'bowl', 'q_value': 'EXIST', 'index': 6, 'dep': 'nmod', 'fd_relation': 'None'}]",Tamara poured water into the bowl,Sbj V Obj PathP,Volitional,Place,none,pour,0,"[{'text': 'Tamara', 'dep': 'nsubj'}, {'text': 'poured', 'dep': 'ROOT'}, {'text': 'water', 'dep': 'dobj'}, {'text': 'into', 'dep': 'case'}, {'text': 'the', 'dep': 'det'}, {'text': 'bowl', 'dep': 'nmod'}]",Tamara water bowl,Tamara water bowl
694.0,"[{'text': 'I', 'q_value': 'VOL', 'index': 1, 'dep': 'nsubj', 'fd_subsequent': 4, 'fd_relation': 'FRC'}, {'text': 'books', 'q_value': '+MER', 'index': 4, 'dep': 'dobj', 'fd_subsequent': 5, 'fd_relation': 'PTH'}, {'text': 'here', 'q_value': 'EXIST', 'index': 5, 'dep': 'advmod', 'fd_relation': 'None'}]",I dropped the books here,Sbj V Obj PathP,Volitional,Place,none,drop,0,"[{'text': 'I', 'dep': 'nsubj'}, {'text': 'dropped', 'dep': 'ROOT'}, {'text': 'the', 'dep': 'det'}, {'text': 'books', 'dep': 'dobj'}, {'text': 'here', 'dep': 'advmod'}]",I books here,I books here
695.0,"[{'text': 'I', 'q_value': 'VOL', 'index': 1, 'dep': 'nsubj', 'fd_subsequent': 4, 'fd_relation': 'FRC'}, {'text': 'books', 'q_value': '+MER', 'index': 4, 'dep': 'dobj', 'fd_subsequent': 7, 'fd_relation': 'PTH'}, {'text': 'table', 'q_value': 'EXIST', 'index': 7, 'dep': 'nmod', 'fd_relation': 'None'}]",I lifted the books onto the table,Sbj V Obj PathP,Volitional,Place,none,lift,0,"[{'text': 'I', 'dep': 'nsubj'}, {'text': 'lifted', 'dep': 'ROOT'}, {'text': 'the', 'dep': 'det'}, {'text': 'books', 'dep': 'dobj'}, {'text': 'onto', 'dep': 'case'}, {'text': 'the', 'dep': 'det'}, {'text': 'table', 'dep': 'nmod'}]",I books table,I books table
696.0,"[{'text': 'Cheryl', 'q_value': 'VOL', 'index': 1, 'dep': 'nsubj', 'fd_subsequent': 4, 'fd_relation': 'FRC'}, {'text': 'books', 'q_value': '+MER', 'index': 4, 'dep': 'dobj', 'fd_subsequent': 7, 'fd_relation': 'PTH'}, {'text': 'shelf', 'q_value': 'EXIST', 'index': 7, 'dep': 'nmod', 'fd_relation': 'None'}]",Cheryl stood the books on the shelf,Sbj V Obj PathP,Volitional,Place,none,stand,0,"[{'text': 'Cheryl', 'dep': 'nsubj'}, {'text': 'stood', 'dep': 'ROOT'}, {'text': 'the', 'dep': 'det'}, {'text': 'books', 'dep': 'dobj'}, {'text': 'on', 'dep': 'case'}, {'text': 'the', 'dep': 'det'}, {'text': 'shelf', 'dep': 'nmod'}]",Cheryl books shelf,Cheryl books shelf
697.0,"[{'text': 'Cheryl', 'q_value': 'VOL', 'index': 1, 'dep': 'nsubj', 'fd_subsequent': 4, 'fd_relation': 'FRC'}, {'text': 'books', 'q_value': '+MER', 'index': 4, 'dep': 'dobj', 'fd_subsequent': 5, 'fd_relation': 'PTH'}, {'text': 'there', 'q_value': 'EXIST', 'index': 5, 'dep': 'advmod', 'fd_relation': 'None'}]",Cheryl stood the books there,Sbj V Obj PathP,Volitional,Place,none,stand,0,"[{'text': 'Cheryl', 'dep': 'nsubj'}, {'text': 'stood', 'dep': 'ROOT'}, {'text': 'the', 'dep': 'det'}, {'text': 'books', 'dep': 'dobj'}, {'text': 'there', 'dep': 'advmod'}]",Cheryl books there,Cheryl books there
698.0,"[{'text': 'I', 'q_value': 'VOL', 'index': 1, 'dep': 'nsubj', 'fd_subsequent': 4, 'fd_relation': 'FRC'}, {'text': 'book', 'q_value': '+MER', 'index': 4, 'dep': 'dobj', 'fd_subsequent': 7, 'fd_relation': 'PTH'}, {'text': 'table', 'q_value': 'EXIST', 'index': 7, 'dep': 'nmod', 'fd_relation': 'None'}]",I put the book on the table,Sbj V Obj PathP,Volitional,Place,none,put,0,"[{'text': 'I', 'dep': 'nsubj'}, {'text': 'put', 'dep': 'ROOT'}, {'text': 'the', 'dep': 'det'}, {'text': 'book', 'dep': 'dobj'}, {'text': 'on', 'dep': 'case'}, {'text': 'the', 'dep': 'det'}, {'text': 'table', 'dep': 'nmod'}]",I book table,I book table
